#x_offset,y_offset		-0.3325	0		
"#λ=5
#x,y"					
-1.395902111	4.927446885	-1.10575521	4.170036048	-1.43825521	4.170036048
-1.566459553	5.213490387	-1.276312651	4.456079549	-1.608812651	4.456079549
-1.743603376	5.4887214	-1.453456474	4.731310563	-1.785956474	4.731310563
					
					
"#λ=15
#x,y"					
-0.175961316	0.496345318	0	0	-0.3325	0
-0.193927217	0.765592222	-0.017965901	0.269246903	-0.350465901	0.269246903
-0.231941509	1.079447007	-0.055980193	0.583101688	-0.388480193	0.583101688
-0.285078423	1.402406825	-0.109117108	0.906061506	-0.441617108	0.906061506
-0.355483641	1.718471206	-0.179522325	1.222125887	-0.512022325	1.222125887
-0.445998054	2.012092793	-0.270036738	1.515747475	-0.602536738	1.515747475
-0.556789095	2.321149866	-0.380827779	1.824804548	-0.713327779	1.824804548
-0.681744185	2.619273275	-0.505782869	2.122927956	-0.838282869	2.122927956
-0.821313129	2.900728512	-0.645351813	2.404383194	-0.977851813	2.404383194
-0.976137289	3.180380038	-0.800175973	2.684034719	-1.132675973	2.684034719
-1.148935349	3.441711792	-0.972974033	2.945366474	-1.305474033	2.945366474
-1.350093003	3.715836262	-1.174131687	3.219490944	-1.506631687	3.219490944
-1.538691882	3.948140009	-1.362730566	3.451794691	-1.695230566	3.451794691
-1.75587258	4.175432797	-1.579911264	3.679087479	-1.912411264	3.679087479
-1.993172529	4.397714355	-1.817211213	3.901369036	-2.149711213	3.901369036
-2.244745284	4.600625606	-2.068783968	4.104280288	-2.401283968	4.104280288
-2.511687233	4.798213521	-2.335725917	4.301868203	-2.668225917	4.301868203
					
					
"#λ=20
#x,y"					
-0.203691841	0.402048641	0	0	-0.3325	0
-0.216011967	0.634108749	-0.012320126	0.232060109	-0.344820126	0.232060109
-0.25160632	0.932014282	-0.047914478	0.529965641	-0.380414478	0.529965641
-0.30803575	1.214861008	-0.104343909	0.812812367	-0.436843909	0.812812367
-0.39852932	1.527065256	-0.194837478	1.125016615	-0.527337478	1.125016615
-0.498078469	1.81252321	-0.294386627	1.410474569	-0.626886627	1.410474569
-0.623234896	2.083679913	-0.419543054	1.681631272	-0.752043054	1.681631272
-0.773858661	2.350637843	-0.570166819	1.948589202	-0.902666819	1.948589202
-0.94104082	2.607516736	-0.737348978	2.205468095	-1.069848978	2.205468095
-1.126773778	2.847549443	-0.923081937	2.445500803	-1.255581937	2.445500803
-1.331551343	3.078591987	-1.127859501	2.676543346	-1.460359501	2.676543346
-1.547686597	3.284842642	-1.343994756	2.882794001	-1.676494756	2.882794001
-1.773497294	3.470881152	-1.569805452	3.068832511	-1.902305452	3.068832511
-2.033501924	3.656596527	-1.829810083	3.254547887	-2.162310083	3.254547887
-2.299341809	3.818565938	-2.095649968	3.416517297	-2.428149968	3.416517297
-2.568943694	3.949908022	-2.365251852	3.547859382	-2.697751852	3.547859382
-2.841390824	4.060602764	-2.637698982	3.658554123	-2.970198982	3.658554123
-3.126950524	4.143959745	-2.923258683	3.741911104	-3.255758683	3.741911104
					
					
"#λ=25
#x,y"					
-0.251378288	0.438857716	0	0	-0.3325	0
-0.261663321	0.707365768	-0.010285034	0.268508051	-0.342785034	0.268508051
-0.293721087	0.977979317	-0.042342799	0.539121601	-0.374842799	0.539121601
-0.355045078	1.249104469	-0.10366679	0.810246752	-0.43616679	0.810246752
-0.445965945	1.53467681	-0.194587657	1.095819094	-0.527087657	1.095819094
-0.561880754	1.796310721	-0.310502467	1.357453004	-0.643002467	1.357453004
-0.695603425	2.038447235	-0.444225138	1.599589519	-0.776725138	1.599589519
-0.861215731	2.279338304	-0.609837443	1.840480587	-0.942337443	1.840480587
-1.046767862	2.501169266	-0.795389574	2.06231155	-1.127889574	2.06231155
-1.256305707	2.714598973	-1.00492742	2.275741257	-1.33742742	2.275741257
-1.489164567	2.900238622	-1.23778628	2.461380905	-1.57028628	2.461380905
-1.725768268	3.061058156	-1.47438998	2.62220044	-1.80688998	2.62220044
-1.961559558	3.192498905	-1.710181271	2.753641189	-2.042681271	2.753641189
-2.235507628	3.308544532	-1.98412934	2.869686815	-2.31662934	2.869686815
-2.520361592	3.403786552	-2.268983305	2.964928835	-2.601483305	2.964928835
-2.794511714	3.466869652	-2.543133426	3.028011936	-2.875633426	3.028011936
-3.071849075	3.501567473	-2.820470788	3.062709757	-3.152970788	3.062709757
-3.348569521	3.50962043	-3.097191234	3.070762714	-3.429691234	3.070762714
-3.640697915	3.498649756	-3.389319627	3.059792039	-3.721819627	3.059792039
					
					
"#λ=30
#x,y"					
-0.21670184	0.458918763	0	0	-0.3325	0
-0.236975924	0.754292408	-0.020274084	0.295373645	-0.352774084	0.295373645
-0.289340308	1.025620013	-0.072638468	0.566701249	-0.405138468	0.566701249
-0.368904298	1.291827609	-0.152202458	0.832908846	-0.484702458	0.832908846
-0.462656592	1.533347753	-0.245954752	1.07442899	-0.578454752	1.07442899
-0.601210539	1.787023357	-0.384508699	1.328104593	-0.717008699	1.328104593
-0.752994263	1.998157284	-0.536292423	1.539238521	-0.868792423	1.539238521
-0.948723567	2.206649051	-0.732021727	1.747730288	-1.064521727	1.747730288
-1.138637742	2.38173245	-0.921935902	1.922813687	-1.254435902	1.922813687
-1.34467215	2.53426576	-1.12797031	2.075346997	-1.46047031	2.075346997
-1.587062212	2.671780819	-1.370360372	2.212862056	-1.702860372	2.212862056
-1.836609144	2.792379551	-1.619907304	2.333460787	-1.952407304	2.333460787
-2.073172644	2.864931027	-1.856470804	2.406012264	-2.188970804	2.406012264
-2.363221764	2.923663	-2.146519924	2.464744237	-2.479019924	2.464744237
-2.626448999	2.95438402	-2.409747159	2.495465257	-2.742247159	2.495465257
-2.899337852	2.951564833	-2.682636012	2.492646069	-3.015136012	2.492646069
-3.168530679	2.92202446	-2.951828839	2.463105697	-3.284328839	2.463105697
-3.454655667	2.853359202	-3.237953827	2.394440438	-3.570453827	2.394440438
-3.701330825	2.767512236	-3.484628985	2.308593473	-3.817128985	2.308593473
					
					
"#λ=35
#x,y"					
#-0.288245704	0.502615062	0	0	-0.3325	0
#-0.302813595	0.768182449	-0.014567891	0.265567387	-0.347067891	0.265567387
#-0.351173591	1.017598174	-0.062927887	0.514983112	-0.395427887	0.514983112
#-0.429580415	1.277451039	-0.141334711	0.774835977	-0.473834711	0.774835977
#-0.538258133	1.510957839	-0.250012429	1.008342777	-0.582512429	1.008342777
#-0.678402226	1.73394395	-0.390156522	1.231328888	-0.722656522	1.231328888
#-0.842403254	1.919950986	-0.55415755	1.417335924	-0.88665755	1.417335924
#-1.026370153	2.096154923	-0.738124449	1.593539861	-1.070624449	1.593539861
#-1.251439948	2.259473018	-0.963194244	1.756857956	-1.295694244	1.756857956
#-1.466752181	2.381622563	-1.178506477	1.879007501	-1.511006477	1.879007501
#-1.698604476	2.4781279	-1.410358772	1.975512838	-1.742858772	1.975512838
#-1.95376447	2.54979622	-1.665518766	2.047181158	-1.998018766	2.047181158
#-2.196561739	2.582934924	-1.908316035	2.080319862	-2.240816035	2.080319862
#-2.456318947	2.59258715	-2.168073243	2.089972088	-2.500573243	2.089972088
#-2.705139874	2.56219438	-2.41689417	2.059579318	-2.74939417	2.059579318
#-2.959905488	2.505591237	-2.671659784	2.002976175	-3.004159784	2.002976175
#-3.19684508	2.410335634	-2.908599376	1.907720572	-3.241099376	1.907720572
#-3.430568651	2.293627014	-3.142322947	1.791011952	-3.474822947	1.791011952
#-3.640743301	2.14671456	-3.352497597	1.644099498	-3.684997597	1.644099498
#-3.820662624	1.97453281	-3.53241692	1.471917748	-3.86491692	1.471917748
#-3.990089613	1.776995655	-3.701843909	1.274380593	-4.034343909	1.274380593
