#x,y,th,
0.000	0.000	0.000
0.204	0.000	0.000
0.408	0.000	0.000
0.612	0.000	0.000
0.816	0.000	0.000
1.020	0.000	0.000
1.224	0.000	0.000
1.429	0.000	0.000
1.633	0.000	0.000
1.837	0.000	0.000
2.041	0.000	0.000
2.245	0.000	0.000
2.449	0.000	0.000
2.653	0.000	0.000
2.857	0.000	0.000
3.061	0.000	0.000
3.265	0.000	0.000
3.469	0.000	0.000
3.673	0.000	0.000
3.878	0.000	0.000
4.082	0.000	0.000
4.286	0.000	0.000
4.490	0.000	0.000
4.694	0.000	0.000
4.898	0.000	0.000
5.102	0.000	0.000
5.306	0.000	0.000
5.510	0.000	0.000
5.714	0.000	0.000
5.918	0.000	0.000
6.122	0.000	0.000
6.327	0.000	0.000
6.531	0.000	0.000
6.735	0.000	0.000
6.939	0.000	0.000
7.143	0.000	0.000
7.347	0.000	0.000
7.551	0.000	0.000
7.755	0.000	0.000
7.959	0.000	0.000
8.163	0.000	0.000
8.367	0.000	0.000
8.571	0.000	0.000
8.776	0.000	0.000
8.980	0.000	0.000
9.184	0.000	0.000
9.388	0.000	0.000
9.592	0.000	0.000
9.796	0.000	0.000
10.000	0.000	0.000
